Ort,schulform,anzahl_schueler,F1_ausstattung
Windeck,Grundschule,230,4.0
Wipperfürth,Berufskolleg,2700,2.0
Wipperfürth,Hauptschule,220,3.0
Wipperfürth,Gymnasium,523,3.0
Witten,Berufskolleg,290,2.0
Witten,Grundschule,180,3.0
Witten,Gesamtschule,1200,5.0
Witten,Realschule,510,5.0
Witten,Gymnasium,900,3.0
Witten,Grundschule,110,4.0
Wuppertal,Gymnasium,1070,1.0
Wuppertal,Hauptschule,375,4.0
Wuppertal,Grundschule,250,4.0
Wuppertal,Grundschule,240,5.0
Wuppertal,Grundschule,322,4.0
Wuppertal,Gesamtschule,1360,3.0
Wuppertal,Gesamtschule,1420,5.0
Wuppertal,Gesamtschule,1300,3.0
Wuppertal,Grundschule,167,4.0
Wuppertal,Gymnasium,720,4.0
Wuppertal,Förderschule,203,4.0
Würselen,Grundschule,209,5.0
Würselen,Weiterbildungskolleg,310,4.0
Xanten,Berufskolleg,365,2.0
Zülpich,Grundschule,128,5.0
